turnover,age,gender_cent,gender_raw,educ_cent,educ_raw,manager_cent,manager_raw,cont_hour,cont_type_cent,cont_type_raw,lmx_cent,lmx_raw,infoshare_cent,infoshare_raw,voice_cent,voice_raw,paysatis_cent,paysatis_raw,fairness_cent,fairness_raw,proact,careeropp_cent,careeropp_raw
3.33,-12.36,0.57,1.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,-0.32,3.42,1.48,5.00,-1.44,1.75,-0.70,2.67,-0.37,3.00,0.26,0.71,4.00
3.33,-12.36,0.57,1.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,-1.32,2.42,1.48,5.00,-0.44,2.75,-1.04,2.33,-1.12,2.25,0.06,-0.96,2.33
3.33,-15.36,0.57,1.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,-0.49,3.25,-0.52,3.00,-0.69,2.50,-0.04,3.33,-0.37,3.00,0.06,0.71,4.00
1.33,-11.36,-0.43,0.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,0.51,4.25,-0.52,3.00,-0.19,3.00,-0.04,3.33,0.63,4.00,0.46,1.04,4.33
4.33,-9.36,0.57,1.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,-0.16,3.58,0.48,4.00,-1.19,2.00,-1.70,1.67,-0.99,2.38,0.46,-1.29,2.00
3.00,-11.36,-0.43,0.00,2.08,6.00,-0.24,0.00,8.44,0.20,1.00,0.09,3.83,0.48,4.00,0.56,3.75,-2.04,1.33,-0.30,3.07,0.06,0.71,4.00
1.00,10.64,-0.43,0.00,-0.92,3.00,0.76,1.00,8.44,0.20,1.00,0.01,3.75,0.48,4.00,-0.19,3.00,0.30,3.67,0.07,3.44,0.26,0.71,4.00
2.00,-12.36,0.57,1.00,0.08,4.00,-0.24,0.00,-31.56,0.20,1.00,0.76,4.50,1.48,5.00,1.06,4.25,0.63,4.00,0.26,3.63,0.06,0.37,3.66
1.00,-10.36,0.57,1.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,-0.07,3.67,1.48,5.00,1.56,4.75,0.63,4.00,0.63,4.00,0.06,1.71,5.00
1.00,15.64,0.57,1.00,-0.92,3.00,-0.24,0.00,0.44,0.20,1.00,-0.66,3.08,-1.02,2.50,-0.69,2.50,-0.04,3.33,-0.43,2.94,0.06,0.37,3.66
3.00,-8.36,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,0.34,4.08,-1.52,2.00,-0.19,3.00,-1.04,2.33,-0.68,2.69,1.06,0.04,3.33
2.00,2.64,-0.43,0.00,-0.92,3.00,-0.24,0.00,8.44,-0.80,0.00,0.01,3.75,-0.02,3.50,0.06,3.25,-1.37,2.00,0.32,3.69,0.06,-1.29,2.00
2.00,15.64,0.57,1.00,0.08,4.00,-0.24,0.00,0.44,0.20,1.00,-0.66,3.08,-0.02,3.50,-1.19,2.00,-0.70,2.67,-0.55,2.82,-0.54,-1.29,2.00
3.33,12.64,-0.43,0.00,-0.92,3.00,-0.24,0.00,6.44,0.20,1.00,-0.16,3.58,-1.52,2.00,-0.94,2.25,-1.37,2.00,-0.87,2.50,1.06,-1.96,1.33
